Country,Actual,Predicted,Accuracy (%)
Malawi,5670,11037,91.343
Thailand,222863,180642,91.343
Liechtenstein,1,2932,91.343
Liechtenstein,105,6218,91.343
Luxembourg,6927,21399,91.343
Latvia,5561,10453,91.343
Lebanon,11944,28825,91.343
Romania,67329,59390,91.343
Italy,251162,244300,91.343
Portugal,26496,22573,91.343
Chile,177029,232899,91.343
United Kingdom,332820,478539,91.343
Cambodia,65476,54714,91.343
Latvia,8499,12154,91.343
Hungary,59185,58179,91.343
Peru,58946,52633,91.343
Faeroe Islands,103,5473,91.343
Argentina,126239,164520,91.343
Peru,111046,117020,91.343
Denmark,47506,60412,91.343
Switzerland,90292,99659,91.343
Northern Ireland,9044,16939,91.343
Wales,28931,44284,91.343
Latvia,3151,6350,91.343
United Kingdom,464646,341001,91.343
Cambodia,62508,32539,91.343
Colombia,53115,33884,91.343
Ecuador,39464,52787,91.343
Luxembourg,2135,8003,91.343
Estonia,8923,24051,91.343
Zimbabwe,17658,18966,91.343
Qatar,28168,37372,91.343
Bulgaria,2701,6193,91.343
Spain,52984,62814,91.343
Malta,5154,22124,91.343
Tunisia,12860,14158,91.343
Qatar,34603,45492,91.343
Peru,35400,22915,91.343
Malaysia,42830,26974,91.343
Italy,136460,144337,91.343
Colombia,105694,41591,91.343
India,460075,529880,91.343
Ukraine,15410,13117,91.343
Romania,50939,48397,91.343
Belgium,19392,16302,91.343
Italy,476778,427473,91.343
Bahrain,9303,16818,91.343
Germany,839179,646516,91.343
Peru,27822,14592,91.343
Romania,34478,27612,91.343
Guinea,7890,8307,91.343
Slovenia,16695,22535,91.343
Oman,1545,4536,91.343
Chile,146693,166347,91.343
Argentina,161313,88959,91.343
Mongolia,47259,61104,91.343
Zambia,2834,4743,91.343
Chile,125416,148266,91.343
Germany,384254,550971,91.343
Norway,49221,25022,91.343
Latvia,603,3988,91.343
Belgium,16856,26423,91.343
Mongolia,20097,19979,91.343
Canada,279047,316785,91.343
Morocco,183462,131438,91.343
Finland,14096,15257,91.343
Indonesia,206490,195026,91.343
Czechia,36464,23349,91.343
South Africa,14967,35109,91.343
Wales,23101,36399,91.343
Belgium,16470,10444,91.343
Italy,528456,493793,91.343
Paraguay,12361,12964,91.343
Malaysia,21722,15930,91.343
Greece,94796,95041,91.343
Chile,137253,163001,91.343
Zimbabwe,13517,20239,91.343
Estonia,8523,20812,91.343
United Kingdom,351257,400509,91.343
France,504795,274848,91.343
Northern Ireland,9307,17442,91.343
Greece,62494,94237,91.343
Bulgaria,9992,12361,91.343
Liechtenstein,117,6570,91.343
Moldova,12580,25426,91.343
Slovenia,8162,10721,91.343
Switzerland,28691,36269,91.343
Saint Lucia,189,4345,91.343
Wales,26110,45468,91.343
Estonia,4817,10047,91.343
Wales,20786,43091,91.343
Aruba,497,8846,91.343
Gibraltar,846,32557,91.343
Cambodia,56601,53662,91.343
Thailand,215134,106571,91.343
Lebanon,6899,8208,91.343
Uruguay,31810,46592,91.343
Germany,730651,1099883,91.343
Portugal,19022,16161,91.343
England,345688,253314,91.343
India,3089205,3045006,91.343
Northern Ireland,14827,23692,91.343
